scorer,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000
bodyparts,Nosetip,Nosetip,Nosetip,rightwhiskers,rightwhiskers,rightwhiskers,leftwhiskers,leftwhiskers,leftwhiskers,rightear,rightear,rightear,leftear,leftear,leftear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1049.49658203125,754.0222778320312,0.6747404336929321,979.604736328125,708.4218139648438,0.9724588394165039,1056.981201171875,684.3285522460938,0.7948315143585205,838.457763671875,536.5921020507812,0.9495425224304199,1070.12744140625,495.6501159667969,0.8649904727935791
1,1046.42236328125,765.7246704101562,0.2567681074142456,974.6885375976562,707.4111938476562,0.966242790222168,1055.1121826171875,685.752685546875,0.81453537940979,836.740478515625,538.436279296875,0.9571211338043213,1068.9290771484375,497.20849609375,0.9371669292449951
2,1050.40625,779.4483642578125,0.6185802817344666,976.19970703125,712.7557983398438,0.9358991980552673,1055.710205078125,687.8792114257812,0.8373243808746338,836.0748901367188,542.4901733398438,0.9406996965408325,1068.9014892578125,499.42742919921875,0.934807300567627
3,1045.9837646484375,766.8378295898438,0.7539723515510559,973.804443359375,708.5650634765625,0.9396519660949707,1053.5462646484375,685.6854858398438,0.8500339984893799,835.6153564453125,539.6569213867188,0.9589247703552246,1068.5941162109375,499.2069396972656,0.9505776166915894
4,1048.3905029296875,767.8529663085938,0.7288572788238525,973.0264892578125,706.0361328125,0.9533205032348633,1054.74169921875,692.5057983398438,0.8229886293411255,835.933837890625,541.1358032226562,0.9394196271896362,1067.0859375,502.0330810546875,0.9494674205780029
5,1053.4493408203125,775.79150390625,0.7246924638748169,972.626220703125,710.689208984375,0.9543895721435547,1051.202392578125,699.8281860351562,0.8186733722686768,837.7958374023438,541.6585083007812,0.925897479057312,1068.55859375,502.130859375,0.973644495010376
6,1051.1285400390625,772.3057250976562,0.7052832841873169,974.1804809570312,709.2378540039062,0.961185097694397,1054.736572265625,693.6784057617188,0.8695058822631836,835.0369873046875,539.05419921875,0.9596548080444336,1069.8837890625,500.38458251953125,0.9759063720703125
7,1058.7506103515625,769.9522705078125,0.8400321006774902,977.0507202148438,709.8441772460938,0.9606295824050903,1056.356201171875,694.462646484375,0.9217721223831177,834.6822509765625,539.6454467773438,0.9448353052139282,1068.785888671875,499.2427062988281,0.9620716571807861
8,1058.3812255859375,771.7361450195312,0.5804791450500488,974.3202514648438,710.5332641601562,0.9369519948959351,1055.05078125,693.3878173828125,0.9283545017242432,836.1624755859375,539.7421264648438,0.9402692914009094,1068.834716796875,499.49920654296875,0.9428356885910034
9,1050.747314453125,767.0687866210938,0.6823146939277649,973.6280517578125,706.1484375,0.9200119972229004,1058.05126953125,691.9638671875,0.9254363775253296,835.986572265625,541.33544921875,0.9263851046562195,1068.096435546875,493.4532470703125,0.920192301273346
10,1053.788818359375,764.2910766601562,0.6462863087654114,975.2700805664062,706.1614379882812,0.9394287467002869,1057.1724853515625,694.1800537109375,0.9194473028182983,837.0968017578125,542.2711791992188,0.9357281923294067,1069.1265869140625,497.8255920410156,0.8863992691040039
11,1059.202880859375,778.9296264648438,0.7815449237823486,973.5571899414062,711.1094360351562,0.9429681301116943,1055.30029296875,702.1171875,0.9112651944160461,836.8854370117188,545.4168090820312,0.9312809705734253,1068.769287109375,501.8065185546875,0.9341860413551331
12,1059.2777099609375,777.7882080078125,0.6083775162696838,975.8787231445312,708.2958984375,0.9596102237701416,1053.2974853515625,693.56982421875,0.9079537391662598,835.7730102539062,545.7354125976562,0.9254359006881714,1068.2415771484375,501.6065368652344,0.9601686000823975
13,1062.5343017578125,770.4072265625,0.8274973034858704,976.9136352539062,709.1588134765625,0.9563916921615601,1056.496826171875,693.7355346679688,0.9391191005706787,837.471435546875,542.7612915039062,0.8891305923461914,1068.93310546875,501.0719909667969,0.9606935381889343
14,1061.301513671875,777.8882446289062,0.9456159472465515,976.1978759765625,713.4927368164062,0.9080403447151184,1056.214111328125,703.6046752929688,0.936935544013977,835.4655151367188,542.642333984375,0.9255932569503784,1068.5335693359375,499.78704833984375,0.9439488649368286
15,1062.083251953125,776.4428100585938,0.8947265148162842,980.4899291992188,710.972412109375,0.9422497749328613,1063.2344970703125,701.6275634765625,0.907645583152771,838.55810546875,548.7316284179688,0.9336152076721191,1069.2567138671875,496.873291015625,0.9540456533432007
16,1062.1878662109375,773.785888671875,0.8593677282333374,985.24462890625,711.0823974609375,0.916928768157959,1063.06103515625,699.17529296875,0.9016240239143372,839.2584228515625,552.2930908203125,0.9270006418228149,1070.8382568359375,500.7444763183594,0.9595382213592529
